frames, LHipRoll, LHipPitch, LKneePitch, LAnkleRoll, LAnklePitch, RHipRoll, RHipPitch, RKneePitch, RAnkleRoll, RAnklePitch, HeadPitch, HeadYaw, LHipYawPitch, LElbowRoll, RElbowRoll, LWristYaw, RWristYaw, LShoulderRoll, LShoulderPitch, LElbowYaw, RShoulderRoll, RShoulderPitch, RElbowYaw
11.5296, 0.275991, -0.89574, 0.603472, -0.0135885, 0.0167737, -0.142978, -0.556842, 0.504048, -0.0543998, -0.332347, -0.141726, -0.210993, -0.0189306, -1.56961, 0.606399, -0.36588, 0.0215278, -0.0471036, 0.822109, -0.654219, 1.06261, -0.319362, 0.082212
11.5379, 0.278736, -0.904543, 0.605737, -0.0121457, 0.0186488, -0.138859, -0.566982, 0.506446, -0.0557263, -0.336403, -0.157239, -0.219152, -0.0159253, -1.57219, 0.564736, -0.364125, 0.019052, -0.0530098, 0.819813, -0.655513, 1.06615, -0.357683, 0.0693959
11.5463, 0.28343, -0.913803, 0.606436, -0.0106455, 0.0223823, -0.133335, -0.580478, 0.510469, -0.0568686, -0.340521, -0.161713, -0.223446, -0.0131181, -1.57481, 0.523957, -0.355616, 0.0179184, -0.0443972, 0.810178, -0.656624, 1.07122, -0.389287, 0.0576252
11.5546, 0.28059, -0.920358, 0.605989, -0.00949255, 0.025879, -0.132504, -0.59226, 0.513694, -0.0576224, -0.343868, -0.165988, -0.225613, -0.00535799, -1.56965, 0.477105, -0.350455, -0.0111494, -0.0477485, 0.800031, -0.653605, 1.09872, -0.42847, 0.045332
11.5629, 0.271779, -0.925345, 0.605144, -0.00911238, 0.0283619, -0.133679, -0.602648, 0.515638, -0.0571546, -0.342367, -0.178467, -0.229717, 0.00917659, -1.56024, 0.433154, -0.349813, -0.0533823, -0.0598194, 0.7968, -0.648655, 1.1261, -0.468488, 0.035049
11.5713, 0.26775, -0.940685, 0.605645, -0.00745985, 0.0323464, -0.139095, -0.620174, 0.5173, -0.0581353, -0.344975, -0.189016, -0.235283, 0.00840777, -1.55625, 0.405754, -0.346371, -0.0660246, -0.0544201, 0.798497, -0.64684, 1.11989, -0.490158, 0.0291945
11.5796, 0.268873, -0.946285, 0.606292, -0.00574445, 0.0339191, -0.138681, -0.624744, 0.517649, -0.0599803, -0.34987, -0.208254, -0.235056, 0.00554282, -1.55848, 0.375881, -0.343521, -0.0940572, -0.0534277, 0.790591, -0.647674, 1.14369, -0.522758, 0.0232914
11.588, 0.271938, -0.955032, 0.606809, -0.0045023, 0.0343291, -0.134533, -0.631611, 0.51742, -0.0613935, -0.354316, -0.219566, -0.236555, 0.00662038, -1.55992, 0.347919, -0.343854, -0.126163, -0.0445633, 0.783019, -0.648402, 1.17135, -0.550962, 0.0180645
11.5963, 0.27037, -0.966178, 0.608047, -0.00358286, 0.0362261, -0.133037, -0.641862, 0.518764, -0.0630141, -0.35807, -0.221044, -0.240787, 0.0118997, -1.56046, 0.333271, -0.344268, -0.131763, -0.0339439, 0.777078, -0.648824, 1.1717, -0.56631, 0.0154569
11.6046, 0.267238, -0.974302, 0.609633, -0.00231092, 0.037519, -0.133364, -0.651605, 0.521644, -0.0646547, -0.360705, -0.220304, -0.24248, 0.0166189, -1.56473, 0.329392, -0.343739, -0.111684, -0.0181741, 0.769582, -0.651109, 1.15797, -0.570456, 0.0147933
11.613, 0.264697, -0.976739, 0.610614, -0.000932233, 0.03716, -0.132459, -0.657881, 0.525594, -0.0658705, -0.363826, -0.226025, -0.242342, 0.0230178, -1.56715, 0.319746, -0.350281, -0.116382, -0.00844249, 0.760925, -0.652167, 1.17262, -0.583554, 0.0130893
11.6213, 0.261697, -0.977628, 0.61115, -0.000329269, 0.0376497, -0.129563, -0.661801, 0.529212, -0.067209, -0.368367, -0.239227, -0.241056, 0.0330225, -1.56505, 0.299687, -0.355852, -0.171396, -0.00480739, 0.754307, -0.65077, 1.22604, -0.611366, 0.00979765
11.6297, 0.260479, -0.981173, 0.611684, 4.14594e-05, 0.0410053, -0.126115, -0.6672, 0.531261, -0.0692302, -0.373082, -0.249362, -0.23834, 0.0414907, -1.5638, 0.293477, -0.354864, -0.190079, 0.00454365, 0.747329, -0.64995, 1.24369, -0.622358, 0.00882692
11.638, 0.263749, -0.983496, 0.612672, 0.00123013, 0.0434446, -0.121676, -0.668967, 0.530959, -0.0710729, -0.376106, -0.255183, -0.236592, 0.0438556, -1.56443, 0.302216, -0.354942, -0.16897, 0.00914141, 0.740866, -0.650203, 1.22327, -0.621861, 0.0101867
11.6463, 0.269066, -0.984963, 0.613619, 0.00239269, 0.0444939, -0.115163, -0.667834, 0.52909, -0.0723301, -0.378092, -0.255068, -0.239334, 0.0441362, -1.56454, 0.313224, -0.355257, -0.138281, 0.0129995, 0.737512, -0.650278, 1.19276, -0.617696, 0.0119074
11.6547, 0.273183, -0.987602, 0.614159, 0.00290737, 0.0456147, -0.108887, -0.668446, 0.527435, -0.0723249, -0.378066, -0.247462, -0.243018, 0.0467251, -1.56327, 0.318852, -0.351289, -0.118834, 0.0271362, 0.73234, -0.649619, 1.1735, -0.609675, 0.0127885
11.663, 0.269938, -0.988734, 0.614771, 0.00300565, 0.0457472, -0.110555, -0.670328, 0.526866, -0.0715908, -0.37548, -0.240606, -0.242719, 0.0511043, -1.56248, 0.324863, -0.349279, -0.128723, 0.0426475, 0.724737, -0.649128, 1.17702, -0.605491, 0.0138598
11.6713, 0.262321, -0.987371, 0.614892, 0.0026181, 0.045784, -0.116587, -0.671989, 0.526894, -0.0726884, -0.375703, -0.239463, -0.242611, 0.0564836, -1.56307, 0.347352, -0.351811, -0.099019, 0.0490118, 0.721784, -0.649369, 1.14364, -0.592743, 0.0179732
11.6797, 0.258276, -0.983732, 0.614255, 0.00237716, 0.0454899, -0.118692, -0.671618, 0.527379, -0.0739304, -0.377225, -0.244922, -0.243348, 0.0626647, -1.56399, 0.364598, -0.353705, -0.0646903, 0.0488792, 0.723659, -0.649826, 1.1091, -0.583205, 0.0213752
11.688, 0.257851, -0.982235, 0.613838, 0.00247633, 0.0447237, -0.118454, -0.671252, 0.527479, -0.0728253, -0.374706, -0.248406, -0.242674, 0.0655921, -1.56329, 0.372788, -0.35278, -0.0619126, 0.0551924, 0.725338, -0.649482, 1.10009, -0.578107, 0.0230408
11.6964, 0.261144, -0.984489, 0.613581, 0.0027368, 0.0441307, -0.115599, -0.672383, 0.52663, -0.0721378, -0.373776, -0.245934, -0.241524, 0.0648011, -1.56024, 0.389025, -0.351275, -0.0501072, 0.0640368, 0.727841, -0.647997, 1.0789, -0.562193, 0.0262168
11.7047, 0.26698, -0.982346, 0.61259, 0.00253478, 0.0436992, -0.109941, -0.670688, 0.526292, -0.0721722, -0.375808, -0.245461, -0.238925, 0.0662506, -1.55801, 0.411732, -0.352091, -0.0208895, 0.063822, 0.729494, -0.646859, 1.04848, -0.542131, 0.0310749
